index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
266,6prmiVokCCQB1VAYhq5TGJ,Stray Cat Strut,['Stray Cats'],37,1981-09-26,195.066,0.671,0.454,0,14.324,0,0.169,0.00735,0.0385,0.0871,0.681,132.109,4,1,1
89,0pNvPWoJgEClbswch8ljDA,Bzrp Music Session: Vol. 23 - Remix,Nico Gz,38,2022-04-26,214.479,0.746,0.811,7,5.843,1,0.342,0.0,0.109,0.113,0.451,101.544,4,0,0
83,7xQdrZO18sSodsnJ7XCqto,DE CAROLINA,Playero,70,2022-11-11,181.622,0.795,0.958,7,1.674,1,0.17,1.34e-06,0.116,0.251,0.927,110.977,4,0,0
199,3x3ZEQyJoPeS8AU38ARoNO,Por Honor y Gloria,['Raul Porchetto'],0,1983-07-31,275.658,0.429,0.715,9,5.086,1,0.651,0.000301,0.036,0.121,0.501,111.15,4,1,1
145,1cTaTNXHyBlSmh36uJm9EE,Don Omar RKT - Remix,GON RMX,0,2021-10-07,178.619,0.698,0.508,10,7.408,0,0.162,0.0,0.296,0.139,0.366,82.427,4,0,0
70,4Rjq1TZbF0bDstOs6SiI6J,LACONE,Mora,78,2022-11-25,260.952,0.798,0.718,8,6.237,0,0.263,0.0,0.0443,0.142,0.727,126.01,4,0,0
135,0J4VlZKeowz54b8Wna8KyJ,Live For Today,['Lords Of The New Church'],18,1983-01-01,218.533,0.476,0.938,1,5.284,0,0.0105,0.0,0.0517,0.334,0.443,126.549,4,1,0
342,62wdQ5CInFr7cjISqrr46f,Baby,['Donnie & Joe Emerson'],51,1979-01-01,250.533,0.508,0.325,2,11.627,1,0.96,0.00259,0.037,0.188,0.274,92.187,4,1,1
122,6BSHpKBd2pc3A9WQfRWzyM,If You Think You're Lonely Now,['Bobby Womack'],51,2021-03-19,333.16,0.651,0.524,0,11.63,0,0.51,9.25e-05,0.0943,0.128,0.651,72.766,4,1,1
127,4DHDIdeayp8xvlyg22wREO,Ram Pam Pam,Becky G,62,2021-04-20,200.785,0.908,0.813,5,2.749,0,0.305,0.0,0.0777,0.278,0.924,97.018,4,0,0
275,5le4sn0iMcnKU56bdmNzso,Everybody Loves The Sunshine,['Roy Ayers Ubiquity'],61,1976-05-12,239.666,0.52,0.571,11,10.326,0,0.168,5.14e-06,0.036,0.17,0.701,161.051,3,1,1
1,2oiixB9QMIzhWaHGVlQx4g,Yandel 150,Feid,88,2022-12-20,216.148,0.783,0.729,6,3.549,0,0.0492,0.000272,0.0691,0.1,0.58,167.968,4,0,0
127,4rrLIX4yCHpVglgnzxWibv,Love Too Good,['Jefferson Starship'],30,1978-02-06,364.893,0.552,0.507,2,14.198,0,0.241,0.148,0.025,0.12,0.692,91.875,4,1,1
8,1iEwyiSLAunPR6uouANE0O,El Perdedor,Maluma,66,2015-10-30,206.693,0.702,0.73,0,5.173,0,0.425,1.25e-06,0.099,0.148,0.879,173.967,4,0,0
10,6f4HlS9R6HO2pnBaRbawA8,Extranjero,['1915'],46,2020-05-27,187.824,0.797,0.603,3,5.857,1,0.05,7.41e-05,0.0355,0.0748,0.624,115.992,4,1,0
21,5QI329v4FeKyt7pXBYw4cs,Rompe RKT - Remix,El negro tecla,55,2022-08-18,151.824,0.848,0.793,11,3.052,0,0.0463,0.0,0.204,0.0951,0.585,85.962,4,0,0
17,1WttHhgIl0N0vXZYrOxF0C,My Melancholy Blues - Remastered 2011,['Queen'],44,1977-10-28,211.333,0.469,0.202,3,14.369,1,0.67,0.0,0.0333,0.193,0.102,110.937,4,1,1
210,62KZRwymXq9Rgm8Cm5UCfx,The World We Knew (Over And Over),['Frank Sinatra'],47,1967-08-01,167.053,0.337,0.419,10,12.212,0,0.755,3.43e-05,0.0297,0.156,0.492,92.815,3,1,1
